日期,产品,单价,销量,总价
2025-01-01,耳机,708,2.72,1925.7600000000002
2025-01-02,笔记本,417,1.0,417.0
2025-01-03,鼠标,1191,2.0,2382.0
2025-01-04,键盘,1433,1.0,1433.0
2025-01-05,键盘,4613,1.0,4613.0
2025-01-06,键盘,1404,5.0,7020.0
2025-01-07,笔记本,3850,2.0,7700.0
2025-01-08,鼠标,1046,5.0,5230.0
2025-01-09,键盘,4689,1.0,4689.0
2025-01-10,鼠标,3659,2.72,9952.480000000001
2025-01-11,手机,4284,2.72,11652.480000000001
2025-01-12,鼠标,1395,2.72,3794.4
2025-01-13,耳机,2572,1.0,2572.0
2025-01-14,笔记本,3265,2.0,6530.0
2025-01-15,鼠标,3961,2.72,10773.92
2025-01-16,手机,246,1.0,246.0
2025-01-17,手机,3423,2.72,9310.560000000001
2025-01-18,笔记本,307,2.0,614.0
2025-01-19,笔记本,3981,2.0,7962.0
2025-01-20,鼠标,4390,1.0,4390.0
2025-01-21,鼠标,498,5.0,2490.0
2025-01-22,笔记本,81,5.0,405.0
2025-01-23,笔记本,3969,2.0,7938.0
2025-01-24,键盘,2727,1.0,2727.0
2025-01-25,耳机,4916,5.0,24580.0
2025-01-26,键盘,2900,2.72,7888.000000000001
2025-01-27,手机,3900,2.72,10608.0
2025-01-28,键盘,1638,1.0,1638.0
2025-01-29,耳机,564,1.0,564.0
2025-01-30,耳机,1360,2.72,3699.2000000000003
2025-01-31,手机,1728,1.0,1728.0
2025-02-01,键盘,299,5.0,1495.0
2025-02-02,鼠标,3148,2.0,6296.0
2025-02-03,键盘,3059,1.0,3059.0
2025-02-04,手机,1473,2.72,4006.5600000000004
2025-02-05,耳机,1828,2.0,3656.0
2025-02-06,键盘,2594,2.0,5188.0
2025-02-07,耳机,2095,2.0,4190.0
2025-02-08,耳机,984,2.0,1968.0
2025-02-09,鼠标,2608,2.0,5216.0
2025-02-10,鼠标,4930,5.0,24650.0
2025-02-11,手机,366,5.0,1830.0
2025-02-12,手机,1795,2.0,3590.0
2025-02-13,键盘,1351,5.0,6755.0
2025-02-14,笔记本,4021,2.0,8042.0
2025-02-15,手机,484,5.0,2420.0
2025-02-16,键盘,653,1.0,653.0
2025-02-17,笔记本,66,2.0,132.0
2025-02-18,笔记本,884,2.0,1768.0
2025-02-19,键盘,1839,2.0,3678.0
2025-02-20,耳机,782,5.0,3910.0
2025-02-21,耳机,2691,1.0,2691.0
2025-02-22,耳机,1625,2.72,4420.0
2025-02-23,笔记本,4101,5.0,20505.0
2025-02-24,笔记本,2865,2.0,5730.0
2025-02-25,笔记本,1714,2.72,4662.08
2025-02-26,鼠标,488,2.0,976.0
2025-02-27,鼠标,60,2.0,120.0
2025-02-28,手机,3164,2.72,8606.08
2025-03-01,耳机,1687,2.72,4588.64
2025-03-02,手机,3249,2.0,6498.0
2025-03-03,手机,1875,1.0,1875.0
2025-03-04,鼠标,3057,5.0,15285.0
2025-03-05,耳机,326,1.0,326.0
2025-03-06,笔记本,4700,2.0,9400.0
2025-03-07,手机,3445,2.72,9370.400000000001
2025-03-08,鼠标,2967,5.0,14835.0
2025-03-09,键盘,4219,2.72,11475.68
2025-03-10,鼠标,3035,2.72,8255.2
2025-03-11,鼠标,1858,5.0,9290.0
2025-03-12,鼠标,1812,5.0,9060.0
2025-03-13,笔记本,1184,5.0,5920.0
2025-03-14,耳机,3481,2.72,9468.320000000002
2025-03-15,手机,4028,5.0,20140.0
2025-03-16,鼠标,4279,1.0,4279.0
2025-03-17,鼠标,3449,2.72,9381.28
2025-03-18,耳机,1632,2.0,3264.0
2025-03-19,鼠标,2986,2.72,8121.920000000001
2025-03-20,笔记本,868,2.72,2360.96
2025-03-21,耳机,1378,5.0,6890.0
2025-03-22,鼠标,4164,2.72,11326.08
2025-03-23,鼠标,4960,1.0,4960.0
2025-03-24,耳机,1749,1.0,1749.0
2025-03-25,鼠标,1808,5.0,9040.0
2025-03-26,键盘,1086,2.0,2172.0
2025-03-27,笔记本,3465,2.0,6930.0
2025-03-28,鼠标,4384,2.72,11924.480000000001
2025-03-29,耳机,4981,2.72,13548.320000000002
2025-03-30,笔记本,2579,2.0,5158.0
2025-03-31,耳机,1464,5.0,7320.0
2025-04-01,键盘,1162,2.0,2324.0
2025-04-02,笔记本,3063,5.0,15315.0
2025-04-03,耳机,4859,5.0,24295.0
2025-04-04,笔记本,2528,2.72,6876.160000000001
2025-04-05,鼠标,3260,2.0,6520.0
2025-04-06,耳机,2826,5.0,14130.0
2025-04-07,手机,2038,2.0,4076.0
2025-04-08,鼠标,4721,1.0,4721.0
2025-04-09,键盘,941,5.0,4705.0
2025-04-10,手机,957,1.0,957.0
