user_id,R_days,F_count,M_sum,R_score,F_score,M_score,用户标签
1008,191,6,1951.8753630705328,1,1,3,重要挽留客户
1026,41,8,1926.2144909814228,2,2,3,重要挽留客户
1029,35,7,1994.9823698485006,2,1,3,重要挽留客户
1047,46,8,2191.6656131860395,2,2,3,重要挽留客户
1050,41,8,2068.1083506531677,2,2,3,重要挽留客户
1054,184,6,1872.5894957425478,1,1,3,重要挽留客户
1067,36,9,2032.6801670921157,2,2,3,重要挽留客户
1069,49,8,2183.989670145642,2,2,3,重要挽留客户
1076,82,4,1953.552333238937,1,1,3,重要挽留客户
1139,37,8,1919.8226788951297,2,2,3,重要挽留客户
1144,173,9,2005.6583714890355,1,2,3,重要挽留客户
1151,63,7,2261.9906226150747,1,1,3,重要挽留客户
1152,77,8,1914.441836705903,1,2,3,重要挽留客户
1158,81,9,1821.2173699731861,1,2,3,重要挽留客户
1169,164,8,2544.0656282854447,1,2,4,重要挽留客户
1185,54,6,1913.5070231026982,2,1,3,重要挽留客户
1188,98,9,2329.8826647691126,1,2,4,重要挽留客户
1223,49,9,2356.8401151627413,2,2,4,重要挽留客户
1227,45,9,3554.6541486056385,2,2,5,重要挽留客户
1229,37,8,2274.8956418166126,2,2,3,重要挽留客户
1290,39,8,2605.1049663508065,2,2,4,重要挽留客户
1294,63,9,1854.7514762052308,1,2,3,重要挽留客户
1325,156,9,2271.2300033909987,1,2,3,重要挽留客户
1351,93,9,2254.156481005118,1,2,3,重要挽留客户
1356,36,8,2600.1035120144857,2,2,4,重要挽留客户
1364,51,9,1846.7469852037475,2,2,3,重要挽留客户
1369,50,7,2394.371061525639,2,1,4,重要挽留客户
1405,41,9,2119.8497251081817,2,2,3,重要挽留客户
1411,96,9,2105.1353644180695,1,2,3,重要挽留客户
1412,84,7,2554.688669924727,1,1,4,重要挽留客户
1433,51,8,1979.4667821474573,2,2,3,重要挽留客户
1461,45,8,1914.021881339176,2,2,3,重要挽留客户
1471,111,7,2798.388119657918,1,1,4,重要挽留客户
1474,42,6,1823.4419662654757,2,1,3,重要挽留客户
1501,162,9,2387.487208944573,1,2,4,重要挽留客户
1526,152,7,2175.3446380631917,1,1,3,重要挽留客户
1532,111,9,2628.3545531881027,1,2,4,重要挽留客户
1567,49,8,2695.751569404178,2,2,4,重要挽留客户
1571,46,9,2357.1589802302515,2,2,4,重要挽留客户
1582,61,7,1827.368326289941,1,1,3,重要挽留客户
1634,70,6,1895.261606410025,1,1,3,重要挽留客户
1651,64,8,2694.546704929868,1,2,4,重要挽留客户
1678,58,9,2116.4598562381448,2,2,3,重要挽留客户
1688,69,9,1992.141190381549,1,2,3,重要挽留客户
1693,42,9,2500.5834808467666,2,2,4,重要挽留客户
1721,70,8,2611.2096720086442,1,2,4,重要挽留客户
1723,71,7,3288.63377744171,1,1,5,重要挽留客户
1728,45,9,1851.2615823066476,2,2,3,重要挽留客户
1736,66,6,1957.8818218594204,1,1,3,重要挽留客户
1776,79,5,2039.9849644948413,1,1,3,重要挽留客户
1788,46,8,1942.6043794877642,2,2,3,重要挽留客户
1823,45,9,3814.803579432749,2,2,5,重要挽留客户
1841,41,8,1842.4312421905381,2,2,3,重要挽留客户
1853,42,9,1877.1051461138763,2,2,3,重要挽留客户
1874,84,7,2445.3309141217287,1,1,4,重要挽留客户
1893,41,9,2887.6782612350667,2,2,4,重要挽留客户
1907,79,6,2234.1288108181857,1,1,3,重要挽留客户
1927,65,9,2288.184776957446,1,2,4,重要挽留客户
1940,61,6,2087.983095062444,1,1,3,重要挽留客户
1958,58,9,2596.369253373189,2,2,4,重要挽留客户
1959,93,9,2606.5285366009716,1,2,4,重要挽留客户
1960,43,5,3178.145389788275,2,1,5,重要挽留客户
1968,67,5,1906.280065270059,1,1,3,重要挽留客户
1975,67,9,3402.5635218087555,1,2,5,重要挽留客户
1995,101,7,2180.3835486370513,1,1,3,重要挽留客户
1998,43,9,4155.108704316365,2,2,5,重要挽留客户
